"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","ft·lbf/s","(U) ","foot pound-force per second",
"(U) ","Fg","(U) ","French gauge",
"(U) ","Gal","(U) ","gal",
"(U) ","gal (UK)","(U) ","gallon (UK)",
"(U) ","gal (UK)/d","(U) ","gallon (UK) per day",
"(U) ","gal (UK)/h","(U) ","gallon (UK) per hour",
"(U) ","gal (UK)/s","(U) ","gallon (UK) per second",
"(U) ","gal (US liq.)/s","(U) ","gallon (US liquid) per second",
"(U) ","gal (US)","(U) ","gallon (US)",
"(U) ","gal/h","(U) ","gallon (US) per hour",
"(U) ","GBq","(U) ","gigabecquerel",
"(U) ","GC/m³","(U) ","gigacoulomb per cubic metre",
"(U) ","GeV","(U) ","gigaelectronvolt",
"(U) ","GHz","(U) ","gigahertz",
"(U) ","GHz·m","(U) ","gigahertz metre",
"(U) ","GJ","(U) ","gigajoule",
"(U) ","GΩ","(U) ","gigaohm",
"(U) ","GΩ·m","(U) ","gigaohm metre",
"(U) ","GΩ/m","(U) ","gigaohm per metre",
"(U) ","GPa","(U) ","gigapascal",
"(U) ","GW","(U) ","gigawatt",
"(U) ","GW·h","(U) ","gigawatt hour",
"(U) ","gi (UK)/d","(U) ","gill (UK) per day",
"(U) ","gi (UK)/h","(U) ","gill (UK) per hour",
"(U) ","gi (UK)/min","(U) ","gill (UK) per minute",
"(U) ","gi (UK)/s","(U) ","gill (UK) per second",
"(U) ","gi (US)/d","(U) ","gill (US) per day",
"(U) ","gi (US)/h","(U) ","gill (US) per hour",
"(U) ","gi (US)/min","(U) ","gill (US) per minute",
"(U) ","gi (US)/s","(U) ","gill (US) per second",
"(U) ","gon","(U) ","gon",
"(U) ","gr","(U) ","grain",
"(U) ","gr/gal (US)","(U) ","grain per gallon (US)",
"(U) ","g","(U) ","gram",
"(U) ","g·mm","(U) ","gram millimetre",
"(U) ","g/bar","(U) ","gram per bar",
"(U) ","g/cm³","(U) ","gram per cubic centimetre",
"(U) ","g/(cm³·bar)","(U) ","gram per cubic centimetre bar",
"(U) ","g/(cm³·K)","(U) ","gram per cubic centimetre kelvin",
"(U) ","g/dm³","(U) ","gram per cubic decimetre",
"(U) ","g/(dm³·bar)","(U) ","gram per cubic decimetre bar",
"(U) ","g/(dm³·K)","(U) ","gram per cubic decimetre kelvin",
"(U) ","g/m³","(U) ","gram per cubic metre",
"(U) ","g/(m³·bar)","(U) ","gram per cubic metre bar",
"(U) ","g/(m³·K)","(U) ","gram per cubic metre kelvin",
"(U) ","g/d","(U) ","gram per day",
"(U) ","g/(d·bar)","(U) ","gram per day bar",
"(U) ","g/(d·K)","(U) ","gram per day kelvin",
"(U) ","g/Hz","(U) ","gram per hertz",
"(U) ","g/h","(U) ","gram per hour",
"(U) ","g/(h·bar)","(U) ","gram per hour bar",
"(U) ","g/(h·K)","(U) ","gram per hour kelvin",
"(U) ","g/K","(U) ","gram per kelvin",
"(U) ","g/l","(U) ","gram per litre",
"(U) ","g/(l·bar)","(U) ","gram per litre bar",
"(U) ","g/(l·K)","(U) ","gram per litre kelvin",
"(U) ","g/m","(U) ","gram per metre (gram per 100 centimetres)",
"(U) ","g/ml","(U) ","gram per millilitre",
"(U) ","g/(ml·bar)","(U) ","gram per millilitre bar",
"(U) ","g/(ml·K)","(U) ","gram per millilitre kelvin",
"(U) ","g/mm","(U) ","gram per millimetre",
"(U) ","g/min","(U) ","gram per minute",
"(U) ","g/(min·bar)","(U) ","gram per minute bar",
"(U) ","g/(min·K)","(U) ","gram per minute kelvin",
"(U) ","g/mol","(U) ","gram per mole",
"(U) ","g/s","(U) ","gram per second",
"(U) ","g/(s·bar)","(U) ","gram per second bar",
"(U) ","g/(s·K)","(U) ","gram per second kelvin",
"(U) ","g/cm²","(U) ","gram per square centimetre",
"(U) ","g/m²","(U) ","gram per square metre",
"(U) ","gf/cm²","(U) ","gram-force per square centimetre",
"(U) ","Gy","(U) ","gray",
"(U) ","Gy/s","(U) ","gray per second",
"(U) ","ch (UK)","(U) ","Gunter's chain",
"(U) ","ha","(U) ","hectare",
"(U) ","hbar","(U) ","hectobar",
"(U) ","hg","(U) ","hectogram",
"(U) ","hl","(U) ","hectolitre",
"(U) ","hm","(U) ","hectometre",
"(U) ","hPa","(U) ","hectopascal",
"(U) ","hPa·m³/s","(U) ","hektopascal cubic metre per second",
"(U) ","hPa·l/s","(U) ","hektopascal litre per second",
"(U) ","hPa/bar","(U) ","hektopascal per bar",
"(U) ","hPa/K","(U) ","hektopascal per kelvin",
"(U) ","H","(U) ","henry",
"(U) ","H/kΩ","(U) ","henry per kiloohm",
"(U) ","H/m","(U) ","henry per metre",
"(U) ","H/Ω","(U) ","henry per ohm",
"(U) ","Hz","(U) ","hertz",
"(U) ","Hz·m","(U) ","hertz metre",
"(U) ","boiler hp","(U) ","horsepower (boiler)",
"(U) ","electric hp","(U) ","horsepower (electric)",
"(U) ","h","(U) ","hour",
"(U) ","cwt (US)","(U) ","hundred pound (cwt) / hundred weight (US)",
"(U) ","cwt (UK)","(U) ","hundred weight (UK)",
"(U) ","gal (UK) /min","(U) ","Imperial gallon per minute",
"(U) ","in","(U) ","inch",
"(U) ","inHg","(U) ","inch of mercury",
"(U) ","inH₂O","(U) ","inch of water",
"(U) ","in/°F","(U) ","inch per degree Fahrenheit",
"(U) ","in/psi","(U) ","inch per psi",
"(U) ","in/s","(U) ","inch per second",
"(U) ","(in/s)/°F","(U) ","inch per second degree Fahrenheit",
"(U) ","(in/s)/psi","(U) ","inch per second psi",
"(U) ","in/s²","(U) ","inch per second squared",
"(U) ","in/revolution","(U) ","inch per two pi radiant",
"(U) ","in·lb","(U) ","inch pound (pound inch)",
"(U) ","in⁴","(U) ","inch to the fourth power",
"(U) ","calIT","(U) ","International Table (IT) calorie",
