"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","pau","(U) ","Palauan",
"(U) ","peo","(U) ","Old Persian (ca. 600-400 B.C.)",
"(U) ","per","(U) ","Bibliographic applications trigraph for Persian",
"(U) ","phi","(U) ","Philippine languages",
"(U) ","phn","(U) ","Phoenician",
"(U) ","pli","(U) ","Pali",
"(U) ","pol","(U) ","Polish",
"(U) ","pon","(U) ","Pohnpeian",
"(U) ","por","(U) ","Portuguese",
"(U) ","pra","(U) ","Prakrit languages",
"(U) ","pro","(U) ","Old Provençal (to 1500)",
"(U) ","pus","(U) ","Pushto",
"(U) ","qaa-qtz","(U) ","Reserved for local use",
"(U) ","que","(U) ","Quechua",
"(U) ","raj","(U) ","Rajasthani",
"(U) ","rap","(U) ","Rapanui",
"(U) ","rar","(U) ","Rarotongan",
"(U) ","roa","(U) ","Romance languages",
"(U) ","roh","(U) ","Romansh",
"(U) ","rom","(U) ","Romany",
"(U) ","ron","(U) ","Terminology applications trigraph for Romanian",
"(U) ","rum","(U) ","Bibliographic applications trigraph for Romanian",
"(U) ","run","(U) ","Rundi",
"(U) ","rup","(U) ","Macedo-Romanian",
"(U) ","rus","(U) ","Russian",
"(U) ","sad","(U) ","Sandawe",
"(U) ","sag","(U) ","Sango",
"(U) ","sah","(U) ","Yakut",
"(U) ","sai","(U) ","South American Indian (Other)",
"(U) ","sal","(U) ","Salishan languages",
"(U) ","sam","(U) ","Samaritan Aramaic",
"(U) ","san","(U) ","Sanskrit",
"(U) ","sas","(U) ","Sasak",
"(U) ","sat","(U) ","Santali",
"(U) ","scc","(U) ","Bibliographic applications trigraph for Serbian",
"(U) ","scn","(U) ","Sicilian",
"(U) ","sco","(U) ","Scots",
"(U) ","scr","(U) ","Bibliographic applications trigraph for Croatian",
"(U) ","sel","(U) ","Selkup",
"(U) ","sem","(U) ","Semitic languages",
"(U) ","sga","(U) ","Old Irish (to 900)",
"(U) ","sgn","(U) ","Sign Languages",
"(U) ","shn","(U) ","Shan",
"(U) ","sid","(U) ","Sidamo",
"(U) ","sin","(U) ","Sinhala",
"(U) ","sio","(U) ","Siouan languages",
"(U) ","sit","(U) ","Sino-Tibetan languages",
"(U) ","sla","(U) ","Slavic languages",
"(U) ","slk","(U) ","Terminology applications trigraph for Slovak",
"(U) ","slo","(U) ","Bibliographic applications trigraph for Slovak",
"(U) ","slv","(U) ","Slovenian",
"(U) ","sma","(U) ","Southern Sami",
"(U) ","sme","(U) ","Northern Sami",
"(U) ","smi","(U) ","Sami languages",
"(U) ","smj","(U) ","Lule Sami",
"(U) ","smn","(U) ","Inari Sami",
"(U) ","smo","(U) ","Samoan",
"(U) ","sms","(U) ","Skolt Sami",
"(U) ","sna","(U) ","Shona",
"(U) ","snd","(U) ","Sindhi",
"(U) ","snk","(U) ","Soninke",
"(U) ","sog","(U) ","Sogdian",
"(U) ","som","(U) ","Somali",
"(U) ","son","(U) ","Songhai languages",
"(U) ","sot","(U) ","Southern Sotho",
"(U) ","spa","(U) ","Spanish",
"(U) ","sqi","(U) ","Terminology applications trigraph for Albanian",
"(U) ","srd","(U) ","Sardinian",
"(U) ","ssa","(U) ","Nilo-Saharan languages",
"(U) ","srn","(U) ","Sranan Tongo",
"(U) ","srp","(U) ","Terminology applications trigraph for Serbian",
"(U) ","srr","(U) ","Serer",
"(U) ","ssw","(U) ","Swati",
"(U) ","suk","(U) ","Sukuma",
"(U) ","sun","(U) ","Sundanese",
"(U) ","sus","(U) ","Susu",
"(U) ","sux","(U) ","Sumerian",
"(U) ","swa","(U) ","Swahili (macrolanguage)",
"(U) ","swe","(U) ","Swedish",
"(U) ","syc","(U) ","Classical Syriac",
"(U) ","syr","(U) ","Syriac",
"(U) ","tah","(U) ","Tahitian",
"(U) ","tai","(U) ","Tai languages",
"(U) ","tam","(U) ","Tamil",
"(U) ","tat","(U) ","Tatar",
"(U) ","tel","(U) ","Telugu",
"(U) ","tem","(U) ","Timne",
"(U) ","ter","(U) ","Tereno",
"(U) ","tet","(U) ","Tetum",
"(U) ","tgk","(U) ","Tajik",
"(U) ","tgl","(U) ","Tagalog",
"(U) ","tha","(U) ","Thai",
"(U) ","tib","(U) ","Bibliographic applications trigraph for Tibetan",
"(U) ","tig","(U) ","Tigre",
"(U) ","tir","(U) ","Tigrinya",
"(U) ","tiv","(U) ","Tiv",
"(U) ","tkl","(U) ","Tokelau",
"(U) ","tlh","(U) ","Klingon",
"(U) ","tli","(U) ","Tlingit",
"(U) ","tmh","(U) ","Tamashek",
"(U) ","tog","(U) ","Tonga (Nyasa)",
"(U) ","ton","(U) ","Tonga (Tonga Islands)",
"(U) ","tpi","(U) ","Tok Pisin",
"(U) ","tsi","(U) ","Tsimshian",
"(U) ","tsn","(U) ","Tswana",
"(U) ","tso","(U) ","Tsonga",
"(U) ","tuk","(U) ","Turkmen",
"(U) ","tum","(U) ","Tumbuka",
"(U) ","tup","(U) ","Tupi languages",
"(U) ","tur","(U) ","Turkish",
"(U) ","tut","(U) ","Altaic languages",
"(U) ","tvl","(U) ","Tuvalu",
"(U) ","twi","(U) ","Twi",
"(U) ","tyv","(U) ","Tuvinian",
"(U) ","udm","(U) ","Udmurt",
"(U) ","uga","(U) ","Ugaritic",
"(U) ","uig","(U) ","Uighur",
"(U) ","ukr","(U) ","Ukrainian",
"(U) ","umb","(U) ","Umbundu",
"(U) ","und","(U) ","Undetermined",
"(U) ","urd","(U) ","Urdu",
"(U) ","uzb","(U) ","Uzbek",
"(U) ","vai","(U) ","Vai",
"(U) ","ven","(U) ","Venda",
"(U) ","vie","(U) ","Vietnamese",
"(U) ","vol","(U) ","Volapük",
"(U) ","vot","(U) ","Votic",
"(U) ","wak","(U) ","Wakashan languages",
"(U) ","wal","(U) ","Wolaytta",
"(U) ","war","(U) ","Waray (Philippines)",
"(U) ","was","(U) ","Washo",
"(U) ","wel","(U) ","Bibliographic applications trigraph for Welsh",
"(U) ","wen","(U) ","Sorbian languages",
"(U) ","wln","(U) ","Walloon",
"(U) ","wol","(U) ","Wolof",
"(U) ","xal","(U) ","Kalmyk",
"(U) ","xho","(U) ","Xhosa",
"(U) ","yao","(U) ","Yao",
"(U) ","yap","(U) ","Yapese",
"(U) ","yid","(U) ","Yiddish",
"(U) ","ypk","(U) ","Yupik languages",
"(U) ","yor","(U) ","Yoruba",
"(U) ","zap","(U) ","Zapotec",
"(U) ","zbl","(U) ","Blissymbols",
"(U) ","zen","(U) ","Zenaga",
"(U) ","zgh","(U) ","Standard Moroccan Tamazight",
"(U) ","zha","(U) ","Zhuang",
"(U) ","zho","(U) ","Terminology applications trigraph for Chinese",
"(U) ","znd","(U) ","Zande languages",
"(U) ","zul","(U) ","Zulu",
"(U) ","zun","(U) ","Zuni",
"(U) ","zxx","(U) ","No linguistic content",
"(U) ","zza","(U) ","Zaza",

