"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","application/vnd.balsamiq.bmml+xml","(U) ","vnd.balsamiq.bmml+xml",
"(U) ","application/vnd.balsamiq.bmpr","(U) ","vnd.balsamiq.bmpr",
"(U) ","application/vnd.bekitzur-stech+json","(U) ","vnd.bekitzur-stech+json",
"(U) ","application/vnd.biopax.rdf+xml","(U) ","vnd.biopax.rdf+xml",
"(U) ","application/vnd.blueice.multipass","(U) ","vnd.blueice.multipass",
"(U) ","application/vnd.bluetooth.ep.oob","(U) ","vnd.bluetooth.ep.oob",
"(U) ","application/vnd.bluetooth.le.oob","(U) ","vnd.bluetooth.le.oob",
"(U) ","application/vnd.bmi","(U) ","vnd.bmi",
"(U) ","application/vnd.businessobjects","(U) ","vnd.businessobjects",
"(U) ","application/vnd.cab-jscript","(U) ","vnd.cab-jscript",
"(U) ","application/vnd.canon-cpdl","(U) ","vnd.canon-cpdl",
"(U) ","application/vnd.canon-lips","(U) ","vnd.canon-lips",
"(U) ","application/vnd.cendio.thinlinc.clientconf","(U) ","vnd.cendio.thinlinc.clientconf",
"(U) ","application/vnd.century-systems.tcp_stream","(U) ","vnd.century-systems.tcp_stream",
"(U) ","application/vnd.chemdraw+xml","(U) ","vnd.chemdraw+xml",
"(U) ","application/vnd.chipnuts.karaoke-mmd","(U) ","vnd.chipnuts.karaoke-mmd",
"(U) ","application/vnd.cinderella","(U) ","vnd.cinderella",
"(U) ","application/vnd.cirpack.isdn-ext","(U) ","vnd.cirpack.isdn-ext",
"(U) ","application/vnd.citationstyles.style+xml","(U) ","vnd.citationstyles.style+xml",
"(U) ","application/vnd.claymore","(U) ","vnd.claymore",
"(U) ","application/vnd.cloanto.rp9","(U) ","vnd.cloanto.rp9",
"(U) ","application/vnd.clonk.c4group","(U) ","vnd.clonk.c4group",
"(U) ","application/vnd.cluetrust.cartomobile-config","(U) ","vnd.cluetrust.cartomobile-config",
"(U) ","application/vnd.cluetrust.cartomobile-config-pkg","(U) ","vnd.cluetrust.cartomobile-config-pkg",
"(U) ","application/vnd.coffeescript","(U) ","vnd.coffeescript",
"(U) ","application/vnd.collection+json","(U) ","vnd.collection+json",
"(U) ","application/vnd.collection.doc+json","(U) ","vnd.collection.doc+json",
"(U) ","application/vnd.collection.next+json","(U) ","vnd.collection.next+json",
"(U) ","application/vnd.commerce-battelle","(U) ","vnd.commerce-battelle",
"(U) ","application/vnd.commonspace","(U) ","vnd.commonspace",
"(U) ","application/vnd.contact.cmsg","(U) ","vnd.contact.cmsg",
"(U) ","application/vnd.cosmocaller","(U) ","vnd.cosmocaller",
"(U) ","application/vnd.crick.clicker","(U) ","vnd.crick.clicker",
"(U) ","application/vnd.crick.clicker.keyboard","(U) ","vnd.crick.clicker.keyboard",
"(U) ","application/vnd.crick.clicker.palette","(U) ","vnd.crick.clicker.palette",
"(U) ","application/vnd.crick.clicker.template","(U) ","vnd.crick.clicker.template",
"(U) ","application/vnd.crick.clicker.wordbank","(U) ","vnd.crick.clicker.wordbank",
"(U) ","application/vnd.criticaltools.wbs+xml","(U) ","vnd.criticaltools.wbs+xml",
"(U) ","application/vnd.ctc-posml","(U) ","vnd.ctc-posml",
"(U) ","application/vnd.ctct.ws+xml","(U) ","vnd.ctct.ws+xml",
"(U) ","application/vnd.cups-pdf","(U) ","vnd.cups-pdf",
"(U) ","application/vnd.cups-postscript","(U) ","vnd.cups-postscript",
"(U) ","application/vnd.cups-ppd","(U) ","vnd.cups-ppd",
"(U) ","application/vnd.cups-raster","(U) ","vnd.cups-raster",
