"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","asu","(U) ","Tocantins Asurini",
"(U) ","asv","(U) ","Asoa",
"(U) ","asw","(U) ","Australian Aborigines Sign Language",
"(U) ","asx","(U) ","Muratayak",
"(U) ","asy","(U) ","Yaosakor Asmat",
"(U) ","asz","(U) ","As",
"(U) ","ata","(U) ","Pele-Ata",
"(U) ","atb","(U) ","Zaiwa",
"(U) ","atc","(U) ","Atsahuaca",
"(U) ","atd","(U) ","Ata Manobo",
"(U) ","ate","(U) ","Atemble",
"(U) ","atg","(U) ","Ivbie North-Okpela-Arhe",
"(U) ","ati","(U) ","Attié",
"(U) ","atj","(U) ","Atikamekw",
"(U) ","atk","(U) ","Ati",
"(U) ","atl","(U) ","Mt. Iraya Agta",
"(U) ","atm","(U) ","Ata",
"(U) ","atn","(U) ","Ashtiani",
"(U) ","ato","(U) ","Atong",
"(U) ","atp","(U) ","Pudtol Atta",
"(U) ","atq","(U) ","Aralle-Tabulahan",
"(U) ","atr","(U) ","Waimiri-Atroari",
"(U) ","ats","(U) ","Gros Ventre",
"(U) ","att","(U) ","Pamplona Atta",
"(U) ","atu","(U) ","Reel",
"(U) ","atv","(U) ","Northern Altai",
"(U) ","atw","(U) ","Atsugewi",
"(U) ","atx","(U) ","Arutani",
"(U) ","aty","(U) ","Aneityum",
"(U) ","atz","(U) ","Arta",
"(U) ","aua","(U) ","Asumboa",
"(U) ","aub","(U) ","Alugu",
"(U) ","auc","(U) ","Waorani",
"(U) ","aud","(U) ","Anuta",
"(U) ","aue","(U) ","=/Kx'au//'ein",
"(U) ","aug","(U) ","Aguna",
"(U) ","auh","(U) ","Aushi",
"(U) ","aui","(U) ","Anuki",
"(U) ","auj","(U) ","Awjilah",
"(U) ","auk","(U) ","Heyo",
"(U) ","aul","(U) ","Aulua",
"(U) ","aum","(U) ","Asu (Nigeria)",
"(U) ","aun","(U) ","Molmo One",
"(U) ","auo","(U) ","Auyokawa",
"(U) ","aup","(U) ","Makayam",
"(U) ","auq","(U) ","Anus",
"(U) ","aur","(U) ","Aruek",
"(U) ","aut","(U) ","Austral",
"(U) ","auu","(U) ","Auye",
"(U) ","auw","(U) ","Awyi",
"(U) ","aux","(U) ","Aurá",
"(U) ","auy","(U) ","Awiyaana",
"(U) ","auz","(U) ","Uzbeki Arabic",
"(U) ","ava","(U) ","Avaric",
"(U) ","avb","(U) ","Avau",
"(U) ","avd","(U) ","Alviri-Vidari",
"(U) ","ave","(U) ","Avestan",
"(U) ","avi","(U) ","Avikam",
"(U) ","avk","(U) ","Kotava",
"(U) ","avl","(U) ","Eastern Egyptian Bedawi Arabic",
"(U) ","avm","(U) ","Angkamuthi",
"(U) ","avn","(U) ","Avatime",
"(U) ","avo","(U) ","Agavotaguerra",
"(U) ","avs","(U) ","Aushiri",
